kind	name	used_in	purpose	rust	notes
py-stdlib	__future__	localbench/__main__.py,localbench/backends.py,localbench/client.py,localbench/golden.py,localbench/memory.py,localbench/models.py,localbench/observe.py,localbench/park.py,localbench/proxy.py,localbench/render.py,localbench/sysstats.py,localbench/workloads.py,scripts/probe-memory-overhead.py,scripts/probe-side-work.py,localbench/doctor.py,localbench/audit.py	`annotations` (PEP 563: annotations stay unevaluated strings)	none: compile-time Python directive; Rust types are checked by rustc	no runtime behavior to port
py-stdlib	argparse	localbench/__main__.py	ArgumentParser + 25 subparsers (stats status gpu memory models watch report run aa ab compare bank show record park unpark keep pull create smol quiet audit why validate doctor); every state-changing one takes --dry-run and --explain (and --json with --dry-run: {verb, actions, would_refuse, noop}); RawDescriptionHelpFormatter with the module docstring; type=_overlay validator (ArgumentTypeError); action=append (--server-arg, --b-server-arg); store_true; nargs=REMAINDER (record's omp flags after --)	clap 4 (derive: Parser + Subcommand; ArgAction::Append; value_parser = fn for _overlay; trailing_var_arg + allow_hyphen_values for record)	usage errors exit 2 in both, and so do bad argument values found after parsing (_usage: a bad spec, a missing run dir, a non-JSON file, no data root); sys.exit(str) refusals print to stderr + rc 1 (tests/test_cli.py pins them); --version (action=version, from importlib.metadata) exits 0 before the required-subcommand check; help text = module docstring + EPILOG (exit codes, environment) (clap long_about + after_help, verbatim_doc_comment); `--server-arg=--mtp` needs allow_hyphen_values
py-stdlib	collections.abc	localbench/sysstats.py,localbench/workloads.py,localbench/doctor.py	Callable type hints (emit callbacks, Sampler on_contention, Rpc.until predicate)	Fn/FnMut trait objects (Box<dyn Fn(&serde_json::Value)>) or generic F: Fn	type-only
py-stdlib	contextlib	localbench/__main__.py,localbench/workloads.py	contextmanager (open_backend yields and stops mlx-serve), suppress(OSError / KeyboardInterrupt / BrokenPipeError / json.JSONDecodeError)	RAII guard structs with Drop (mlx-serve stop), scopeguard; suppress -> `let _ =` / `.ok()` on Result	Drop does not run on std::process::exit: route every refusal (sys.exit in open_backend/preflight) through main's return so mlx-serve is stopped
py-stdlib	dataclasses	localbench/client.py,localbench/workloads.py	dataclass/field/asdict: client.Sample, workloads.Ctx, workloads.Result (Result.__dict__ is serialized into summary.json)	structs + #[derive(Serialize, Deserialize, Default, Clone)] (serde)	asdict key order = field order = summary.json/samples.jsonl key order; serde preserves declaration order
py-stdlib	datetime	localbench/__main__.py,localbench/models.py,localbench/render.py,localbench/park.py	datetime.now(UTC).strftime("%Y%m%dT%H%M%SZ") run stamps; fromisoformat on Hugging Face lastModified/createdAt ("...Z"); timedelta release window; monitor findings stamp event t with fromtimestamp(..., UTC); park.process_started parses ps lstart as '%a %b %d %H:%M:%S %Y'	jiff (Timestamp::now().strftime, str::parse::<Timestamp>, SignedDuration::from_hours)	Python 3.11+ fromisoformat accepts Z and fractional seconds; jiff's RFC 3339 parser does too; stamps name run dirs and receipts (string-sortable); lstart is local time, timestamp() treats the naive datetime as local
py-stdlib	functools	localbench/backends.py,localbench/doctor.py	cache on _sha16 keyed (resolved path, st_mtime_ns, st_size)	std::sync::Mutex<HashMap<(PathBuf, i128, u64), String>> in a OnceLock (no crate)	the mtime/size key is deliberate: omp upgraded in place mid-campaign (2026-09-23)
py-stdlib	itertools	localbench/render.py	pairwise over successive progress events for the 10-minute stall finding	std::iter::Iterator::tuple_windows or a manual previous/current	gap is t1-t0 in unix seconds; over 600 is a stall line
py-stdlib	hashlib	localbench/backends.py,localbench/models.py,localbench/workloads.py	sha256: sha16 pins of binaries and overlays (first 16 hex), fixtures_sha (sha256 over sorted fixtures/omp/*.json minus *.meta.json, each name + NUL + bytes), mlx model digest ('files:' + 12 hex of config.json + model.safetensors.index.json + tokenizer_config.json), ollama registry manifest id (12 hex)	sha2 (Sha256) + hex (or base16ct) for lowercase hex	byte-exact contract with goldens and docs/evidence/incumbents.md: same inputs, same order, same truncation, or every tier turns GENERATION-MISMATCH
py-stdlib	http.server	localbench/proxy.py	ThreadingHTTPServer + BaseHTTPRequestHandler: the proxy on 127.0.0.1:11299 (HTTP/1.1 keep-alive, do_GET/do_POST forward, hop-by-hop header filter, hand-written chunked framing, flush per upstream line, quiet on BrokenPipe/ConnectionReset)	std::net::TcpListener + httparse + one std::thread per connection (mirrors the hand-rolled framing); tiny_http only if its chunked writer is proven to flush per line; hyper 1 + tokio if the port goes async	HARD: TTFT per call is measured through it, so no buffering is allowed; abort detection = write error to omp; must close upstream on abort so the backend stops generating
